,,Intermediate Output,,,,,,,,,,,,,,,Food Output,,,,,Weapon Output,,,,
 Level , Workers ,Charcoal,Pig Iron,Gunpowder,Iron,Low-Grade Steel,Explosives,High-Grade Steel,High Explosives,Steam Engine,Wire,Pipe,Electrics,Ball Bearing,Diesel Engine,Instruments,Farm Tools,Iron Plow,Combine,Irrigation,Tractor,Sword,Musket,Rifle,Cannon,Tank
 Beginner ,10,87,63,17,18,,,,,,,,,,,,63,11,,,,63,14,,,
 Beginner ,25,244,177,61,90,,,,,,,,,,,,177,45,,,,177,53,,,
 Beginner ,50,532,386,159,292,,,,,,,,,,,,386,122,,,,386,138,,,
 Beginner ,100,1160,844,412,900,,,,,,,,,,,,844,316,,,,844,358,,,
 Beginner ,184,2320,1672,952,2448,,,,,,,,,,,,1672,736,,,,1672,832,,,
 Intermediate ,10,63,43,11,13,3,0,,,10,,,,,,,45,9,3,,,45,9,0,,
 Intermediate ,25,177,128,41,56,28,9,,,18,,,,,,,128,30,13,,,128,34,9,,
 Intermediate ,50,386,280,107,187,105,35,,,56,,,,,,,280,83,49,,,280,92,35,,
 Intermediate ,100,844,612,278,576,386,109,,,174,,,,,,,612,216,163,,,612,240,109,,
 Intermediate ,214,1984,1432,788,1984,1584,400,,,592,,,,,,,1432,616,556,,,1432,688,368,,
 Expert ,10,39,29,6,5,0,0,0,0,0,0,0,0,0,0,0,29,4,0,0,0,29,4,0,0,0
 Expert ,25,111,81,23,29,13,5,0,0,9,3,0,0,0,0,0,81,17,5,0,0,81,20,5,0,0
 Expert ,50,244,177,61,90,49,18,0,4,29,14,7,8,4,0,4,177,45,23,7,0,177,53,18,3,4
 Expert ,100,532,386,159,292,181,56,11,16,90,56,38,43,20,11,20,386,122,81,28,11,386,138,56,13,20
 Expert ,160,904,656,304,632,418,129,50,49,187,143,89,104,50,33,50,656,234,174,74,33,656,266,119,38,50
 Expert ,179,1024,744,350,752,516,152,50,64,225,166,105,123,70,50,70,744,272,211,89,50,744,310,140,49,70
 Expert ,188,1080,788,378,816,588,163,70,64,251,189,122,143,70,50,70,788,290,225,105,50,788,330,152,49,70
 Expert ,208,1216,880,434,972,700,198,94,81,292,241,141,166,94,70,94,880,336,278,122,70,880,378,187,61,94
 Expert ,250,1496,1080,560,1312,1004,264,122,121,400,330,202,241,153,122,153,1080,434,368,181,94,1080,486,251,89,153
 Expert ,300,1840,1336,720,1776,1416,352,190,196,536,510,300,362,230,190,230,1336,560,502,274,153,1336,632,338,141,230
 Expert ,417,2656,1920,1128,3024,2560,612,430,360,900,924,552,680,490,372,430,1920,880,860,480,320,1920,988,576,249,430
