,,,,Acres,,,,,Raw Output,,,,,,,
 Level , Continent , Provinces ,Population,Farmland,Mountain,Forest,Desert, Workers , Lumber, Sulfur, Iron Ore,Coal,Light Metal,Nitrate,Heavy Metal,Petroleum
 Beginner , One ,9,556,372,0,0,34,10,87,42,63,33,,,,
 Beginner , One ,9,556,372,0,0,34,25,244,187,177,156,,,,
 Beginner , One ,9,556,372,0,0,34,50,532,576,386,504,,,,
 Beginner , One ,9,556,372,0,0,34,100,1160,1776,844,1624,,,,
 Beginner , One ,9,556,372,0,0,34,184,2320,4768,1672,4544,,,,
 Intermediate , One ,6,310,208,0,0,19,10,29,18,21,6,0,0,,
 Intermediate , One ,6,310,208,0,0,19,25,81,90,58,26,7,13,,
 Intermediate , One ,6,310,208,0,0,19,50,177,278,128,96,28,61,,
 Intermediate , One ,6,310,208,0,0,19,100,386,880,280,310,105,226,,
 Intermediate , One ,6,310,208,0,0,19,102,396,900,286,310,105,249,,
 Intermediate ,Three,7,414,277,55,0,0,10,29,5,47,20,3,0,,
 Intermediate ,Three,7,414,277,55,0,0,25,81,35,134,96,28,3,,
 Intermediate ,Three,7,414,277,55,0,0,50,177,109,292,326,122,20,,
 Intermediate ,Three,7,414,277,55,0,0,100,386,352,640,1056,448,74,,
 Intermediate ,Three,7,414,277,55,0,0,137,552,592,912,1800,784,141,,
 Intermediate , Five ,9,647,433,0,50,3,10,101,9,21,6,0,0,,
 Intermediate , Five ,9,647,433,0,50,3,25,288,42,58,26,7,3,,
 Intermediate , Five ,9,647,433,0,50,3,50,628,129,128,128,28,20,,
 Intermediate , Five ,9,647,433,0,50,3,100,1368,400,280,310,105,89,,
 Intermediate , Six ,9,783,523,74,0,14,10,29,13,58,26,7,0,,
 Intermediate , Six ,9,783,523,74,0,14,25,81,72,163,131,38,13,,
 Intermediate , Six ,9,783,523,74,0,14,50,177,238,358,444,160,49,,
 Intermediate , Six ,9,783,523,74,0,14,100,386,752,784,1456,624,181,,
 Intermediate , Seven ,5,356,238,32,17,6,10,51,9,37,15,3,0,,
 Intermediate , Seven ,5,356,238,32,17,6,25,144,49,103,66,20,7,,
 Intermediate , Seven ,5,356,238,32,17,6,50,314,163,228,228,74,28,,
 Intermediate , Seven ,5,356,238,32,17,6,100,684,502,496,736,274,122,,
 Expert , One ,10,537,360,48,44,0,10,72,0,30,10,0,0,0,0
 Expert , One ,10,537,360,48,44,0,25,201,5,87,48,13,0,3,0
 Expert , One ,10,537,360,48,44,0,50,442,23,189,169,49,3,20,0
 Expert , One ,10,537,360,48,44,0,100,964,81,412,544,202,13,74,0
 Expert , One ,10,537,360,48,44,0,160,1632,187,704,1232,516,38,202,4
 Expert , Two ,10,570,382,35,20,12,10,37,5,22,6,0,0,0,0
 Expert , Two ,10,570,382,35,20,12,25,103,29,63,33,7,3,3,0
 Expert , Two ,10,570,382,35,20,12,50,228,99,140,107,28,13,13,0
 Expert , Two ,10,570,382,35,20,12,100,496,306,304,346,122,61,49,4
 Expert , Two ,10,570,382,35,20,12,188,1000,860,616,1000,418,226,160,33
 Expert , Three ,8,542,363,0,8,42,10,21,29,7,0,0,3,0,0
 Expert , Three ,8,542,363,0,8,42,25,58,129,21,6,0,20,0,0
 Expert , Three ,8,542,363,0,8,42,50,128,400,47,20,3,89,0,11
 Expert , Three ,8,542,363,0,8,42,100,280,1256,103,66,20,356,7,50
 Expert , Three ,8,542,363,0,8,42,179,536,3248,199,184,61,1056,20,190
 Expert , Five ,11,630,422,66,35,3,10,56,0,39,15,3,0,0,0
 Expert , Five ,11,630,422,66,35,3,25,160,9,109,75,20,0,7,0
 Expert , Five ,11,630,422,66,35,3,50,350,35,241,244,74,3,28,0
 Expert , Five ,11,630,422,66,35,3,100,764,109,524,784,300,20,122,0
 Expert , Five ,11,630,422,66,35,3,208,1736,384,1192,2736,1256,89,480,11
 Expert , Eleven ,6,304,204,38,0,0,10,10,0,24,6,0,0,0,0
 Expert , Eleven ,6,304,204,38,0,0,25,29,5,68,33,7,0,3,0
 Expert , Eleven ,6,304,204,38,0,0,50,65,23,152,119,38,3,13,0
 Expert , Eleven ,6,304,204,38,0,0,100,144,81,334,402,141,13,49,0
